id,title,path,mood
n4RjJKxsamQ,Wind of Change - Video Version,song/Romance/Wind of Change - Video Version.wav,Romance
r3Pr1_v7hsw,I Want to Know What Love Is,song/Romance/I Want to Know What Love Is.wav,Romance
UrIiLvg58SY,More Than Words (Live),song/Romance/More Than Words (Live).wav,Romance
k2C5TjS2sh4,"It Must Have Been Love (From the Film ""Pretty Woman"")","song/Romance/It Must Have Been Love (From the Film ""Pretty Woman"").wav",Romance
ujNeHIo7oTE,With or Without You,song/Romance/With or Without You.wav,Romance
BciS5krYL80,Hotel California,song/Romance/Hotel California.wav,Romance
mh8MIp2FOhc,I'll Be There for You,song/Romance/I'll Be There for You.wav,Romance
ogoIxkPjRts,Making Love out of Nothing at All,song/Romance/Making Love out of Nothing at All.wav,Romance
L6-uJLteKek,To Be With You 4K Video,song/Romance/To Be With You 4K Video.wav,Romance
tH2w6Oxx0kQ,Dust in the Wind (Official Video),song/Romance/Dust in the Wind (Official Video).wav,Romance
1A0MPWseJIE,Hard to Say I'm Sorry,song/Romance/Hard to Say I'm Sorry.wav,Romance
JWdZEumNRmI,All Out Of Love,song/Romance/All Out Of Love.wav,Romance
Ghd2bkIadG4,18 and Life (45 Version),song/Romance/18 and Life (45 Version).wav,Romance
6dOwHzCHfgA,(I Just) Died in Your Arms,song/Romance/(I Just) Died in Your Arms.wav,Romance
ufQUxoidxkM,More Than a Feeling,song/Romance/More Than a Feeling.wav,Romance
1lWJXDG2i0A,Free Fallin',song/Romance/Free Fallin'.wav,Romance
H5i7j0VhEHw,Stop Draggin' My Heart Around,song/Romance/Stop Draggin' My Heart Around.wav,Romance
zKVq-P3z5Vg,One More Night,song/Romance/One More Night.wav,Romance
wJzNZ1c5C9c,Keep On Loving You,song/Romance/Keep On Loving You.wav,Romance
41P8UxneDJE,These Dreams,song/Romance/These Dreams.wav,Romance
1eQWdpWjXlk,Glory of Love,song/Romance/Glory of Love.wav,Romance
5-jNPOOuhP8,Listen To Your Heart,song/Romance/Listen To Your Heart.wav,Romance
uR_2MMar0s0,Easy Lover,song/Romance/Easy Lover.wav,Romance
d7ew_jIxLa8,When Love and Hate Collide,song/Romance/When Love and Hate Collide.wav,Romance
Ak_MTXQALa0,Year of the Cat,song/Romance/Year of the Cat.wav,Romance
Tg7vvmlrRzc,Missing You,song/Romance/Missing You.wav,Romance
x194HbAI-og,A Horse with No Name,song/Romance/A Horse with No Name.wav,Romance
iU-wXrdh-8U,The Best of My Love,song/Romance/The Best of My Love.wav,Romance
-9_d-sFhmRM,If You Leave Me Now,song/Romance/If You Leave Me Now.wav,Romance
McZYYe0kAtg,Dream Weaver,song/Romance/Dream Weaver.wav,Romance
nobHZ3nOp38,I'll Stand by You,song/Romance/I'll Stand by You.wav,Romance
aw0ZS6q1caI,Nights Are Forever Without You,song/Romance/Nights Are Forever Without You.wav,Romance
csZh_mmi78Y,Is This Love,song/Romance/Is This Love.wav,Romance
cuOlZggAvKw,Every Rose Has Its Thorn (Remastered 2003),song/Romance/Every Rose Has Its Thorn (Remastered 2003).wav,Romance
QoU92Luix_k,Wonderful Tonight,song/Romance/Wonderful Tonight.wav,Romance
SIF2WbzEMnc,Sorry,song/Romance/Sorry.wav,Romance
d404PeooWl8,Love Is the Answer,song/Romance/Love Is the Answer.wav,Romance
T5Th424spvY,Heart to Heart,song/Romance/Heart to Heart.wav,Romance
tjBs4pKwzhU,Baby Come Back,song/Romance/Baby Come Back.wav,Romance
U3ASj1L6_sY,Easy On Me (Official Video),song/Romance/Easy On Me (Official Video).wav,Romance
RgKAFK5djSk,See You Again (feat. Charlie Puth),song/Romance/See You Again (feat. Charlie Puth).wav,Romance
KrgJp7Z1Hv8,It'll Be Okay,song/Romance/It'll Be Okay.wav,Romance
lp-EO5I60KA,Thinking Out Loud,song/Romance/Thinking Out Loud.wav,Romance
tt2k8PGm-TI,Dusk Till Dawn (feat. Sia),song/Romance/Dusk Till Dawn (feat. Sia).wav,Romance
0yW7w8F2TVA,Say You Won't Let Go,song/Romance/Say You Won't Let Go.wav,Romance
450p7goxZqg,All of Me,song/Romance/All of Me.wav,Romance
LHCob76kigA,7 Years,song/Romance/7 Years.wav,Romance
qN4ooNx77u0,Sign of the Times,song/Romance/Sign of the Times.wav,Romance
nCkpzqqog4k,I'm Not The Only One (Official Video),song/Romance/I'm Not The Only One (Official Video).wav,Romance
zABLecsR5UE,Someone You Loved,song/Romance/Someone You Loved.wav,Romance
hLQl3WQQoQ0,Someone Like You (Official Music Video),song/Romance/Someone Like You (Official Music Video).wav,Romance
nSDgHBxUbVQ,Photograph,song/Romance/Photograph.wav,Romance
OpQFFLBMEPI,Just Give Me A Reason (feat. Nate Ruess),song/Romance/Just Give Me A Reason (feat. Nate Ruess).wav,Romance
pB-5XG-DbAA,Stay With Me,song/Romance/Stay With Me.wav,Romance
My2FRPA3Gf8,Wrecking Ball (Official Video),song/Romance/Wrecking Ball (Official Video).wav,Romance
ekzHIouo8Q4,When I Was Your Man,song/Romance/When I Was Your Man.wav,Romance
